PacmanPos, 6, 1, Ghost0Pos, 5, 6, Ghost1Pos, 9, 9, Ghost2Pos, 9, 10, Ghost3Pos, 5, 9, 
PacmanPos, 6, 1, Ghost0Pos, 5, 5, Ghost1Pos, 9, 10, Ghost2Pos, 10, 10, Ghost3Pos, 4, 9, 
PacmanPos, 6, 1, Ghost0Pos, 5, 4, Ghost1Pos, 10, 10, Ghost2Pos, 10, 11, Ghost3Pos, 3, 9, 
PacmanPos, 6, 2, Ghost0Pos, 6, 4, Ghost1Pos, 10, 11, Ghost2Pos, 11, 11, Ghost3Pos, 3, 8, 
PacmanPos, 6, 2, Ghost0Pos, 6, 5, Ghost1Pos, 9, 11, Ghost2Pos, 12, 11, Ghost3Pos, 3, 7, 
PacmanPos, 6, 2, Ghost0Pos, 5, 5, Ghost1Pos, 9, 10, Ghost2Pos, 13, 11, Ghost3Pos, 3, 6, 
PacmanPos, 6, 1, Ghost0Pos, 4, 5, Ghost1Pos, 9, 9, Ghost2Pos, 13, 10, Ghost3Pos, 4, 6, 
PacmanPos, 6, 1, Ghost0Pos, 4, 4, Ghost1Pos, 10, 9, Ghost2Pos, 13, 9, Ghost3Pos, 4, 5, 
PacmanPos, 6, 1, Ghost0Pos, 4, 3, Ghost1Pos, 10, 10, Ghost2Pos, 13, 8, Ghost3Pos, 3, 5, 
PacmanPos, 6, 1, Ghost0Pos, 4, 2, Ghost1Pos, 10, 11, Ghost2Pos, 13, 7, Ghost3Pos, 3, 6, 
PacmanPos, 6, 1, Ghost0Pos, 4, 1, Ghost1Pos, 11, 11, Ghost2Pos, 13, 6, Ghost3Pos, 4, 6, 
PacmanPos, 6, 1, Ghost0Pos, 3, 1, Ghost1Pos, 12, 11, Ghost2Pos, 13, 5, Ghost3Pos, 5, 6, 
PacmanPos, 7, 1, Ghost0Pos, 2, 1, Ghost1Pos, 13, 11, Ghost2Pos, 13, 4, Ghost3Pos, 5, 7, 
PacmanPos, 6, 1, Ghost0Pos, 1, 1, Ghost1Pos, 13, 10, Ghost2Pos, 13, 3, Ghost3Pos, 6, 7, 
PacmanPos, 6, 1, Ghost0Pos, 1, 2, Ghost1Pos, 13, 9, Ghost2Pos, 12, 3, Ghost3Pos, 6, 8, 
PacmanPos, 6, 1, Ghost0Pos, 1, 3, Ghost1Pos, 14, 9, Ghost2Pos, 11, 3, Ghost3Pos, 6, 9, 
PacmanPos, 6, 1, Ghost0Pos, 1, 4, Ghost1Pos, 15, 9, Ghost2Pos, 10, 3, Ghost3Pos, 7, 9, 
PacmanPos, 6, 1, Ghost0Pos, 1, 5, Ghost1Pos, 16, 9, Ghost2Pos, 9, 3, Ghost3Pos, 6, 9, 
PacmanPos, 6, 1, Ghost0Pos, 1, 6, Ghost1Pos, 16, 8, Ghost2Pos, 8, 3, Ghost3Pos, 5, 9, 
PacmanPos, 6, 1, Ghost0Pos, 1, 7, Ghost1Pos, 16, 7, Ghost2Pos, 8, 4, Ghost3Pos, 4, 9, 
PacmanPos, 6, 1, Ghost0Pos, 2, 7, Ghost1Pos, 15, 7, Ghost2Pos, 8, 5, Ghost3Pos, 4, 10, 
PacmanPos, 6, 1, Ghost0Pos, 3, 7, Ghost1Pos, 15, 6, Ghost2Pos, 9, 5, Ghost3Pos, 4, 11, 
PacmanPos, 6, 1, Ghost0Pos, 3, 8, Ghost1Pos, 15, 5, Ghost2Pos, 10, 5, Ghost3Pos, 3, 11, 
PacmanPos, 6, 1, Ghost0Pos, 3, 9, Ghost1Pos, 16, 5, Ghost2Pos, 11, 5, Ghost3Pos, 2, 11, 
PacmanPos, 6, 1, Ghost0Pos, 4, 9, Ghost1Pos, 16, 4, Ghost2Pos, 10, 5, Ghost3Pos, 1, 11, 
PacmanPos, 6, 1, Ghost0Pos, 5, 9, Ghost1Pos, 15, 4, Ghost2Pos, 9, 5, Ghost3Pos, 1, 10, 
PacmanPos, 6, 1, Ghost0Pos, 6, 9, Ghost1Pos, 15, 3, Ghost2Pos, 8, 5, Ghost3Pos, 1, 9, 
PacmanPos, 6, 1, Ghost0Pos, 7, 9, Ghost1Pos, 16, 3, Ghost2Pos, 8, 4, Ghost3Pos, 1, 8, 
